UUID,Major,Minor,RSSI,X,Y,Timestamp,SessId
b9407f30f5f8466eaff925556b57fe6d,1,9609,-79,0.5160490600087604,3.402262779237845,1494768673835,23
b9407f30f5f8466eaff925556b57fe6d,1,9617,-90,0.5185859413053,3.355604106438896,1494768673885,23
b9407f30f5f8466eaff925556b57fe6d,1,9616,-82,0.5197529067017083,3.3341411169513795,1494768673908,23
b9407f30f5f8466eaff925556b57fe6d,1,9618,-65,0.5199051195795006,3.3313415965834428,1494768673911,23
b9407f30f5f8466eaff925556b57fe6d,1,9619,-87,0.5241670801576872,3.252955026281209,1494768673995,23
b9407f30f5f8466eaff925556b57fe6d,1,9609,-78,0.5263487980727113,3.212828567674113,1494768674038,23
b9407f30f5f8466eaff925556b57fe6d,1,9617,-76,0.5289364169951818,3.165236721419185,1494768674089,23
b9407f30f5f8466eaff925556b57fe6d,1,9616,-73,0.5299511695137976,3.1465732522996057,1494768674109,23
b9407f30f5f8466eaff925556b57fe6d,1,9618,-67,0.5308137091546211,3.130709303547963,1494768674126,23
b9407f30f5f8466eaff925556b57fe6d,1,9619,-90,0.5344668182216382,3.063520814717477,1494768674198,23
b9407f30f5f8466eaff925556b57fe6d,1,9609,-76,0.5367500113885239,3.021528009198423,1494768674243,23
b9407f30f5f8466eaff925556b57fe6d,1,9617,-78,0.5393376303109942,2.9739361629434953,1494768674294,23
b9407f30f5f8466eaff925556b57fe6d,1,9616,-69,0.5402001699518177,2.9580722141918527,1494768674311,23
b9407f30f5f8466eaff925556b57fe6d,1,9618,-69,0.5410627095926412,2.94220826544021,1494768674328,23
b9407f30f5f8466eaff925556b57fe6d,1,9619,-88,0.5446650810337276,2.875952950065703,1494768674399,23
b9407f30f5f8466eaff925556b57fe6d,1,9609,-75,0.546999011826544,2.8330269710906704,1494768674445,23
b9407f30f5f8466eaff925556b57fe6d,1,9617,-85,0.5495358931230836,2.7863682982917215,1494768674495,23
b9407f30f5f8466eaff925556b57fe6d,1,9616,-84,0.5504491703898379,2.7695711760840998,1494768674513,23
03050a00010400000000000000000000,0,0,-90,0.5506521208935611,2.765838482260184,1494768674517,23
b9407f30f5f8466eaff925556b57fe6d,1,9618,-74,0.5515146605343846,2.7499745335085413,1494768674534,23
b9407f30f5f8466eaff925556b57fe6d,1,9619,-91,0.5549648190976785,2.686518738501971,1494768674602,23
b9407f30f5f8466eaff925556b57fe6d,1,9609,-80,0.5572480122645642,2.6445259329829174,1494768674647,23
b9407f30f5f8466eaff925556b57fe6d,1,9617,-74,0.5598356311870346,2.5969340867279893,1494768674698,23
b9407f30f5f8466eaff925556b57fe6d,1,9616,-72,0.5609011213315812,2.577337444152431,1494768674719,23
b9407f30f5f8466eaff925556b57fe6d,1,9618,-68,0.5617129233464739,2.5624066688567675,1494768674735,23
b9407f30f5f8466eaff925556b57fe6d,1,9619,-85,0.5652138195356986,2.498017700394218,1494768674804,23
b9407f30f5f8466eaff925556b57fe6d,1,9609,-60,0.5674970127025843,2.4560248948751644,1494768674849,23
03050a00010400000000000000000000,0,0,-91,0.5690191414805081,2.428029691195795,1494768674879,23
b9407f30f5f8466eaff925556b57fe6d,1,9617,-86,0.5701861068769163,2.406566701708279,1494768674902,23
b9407f30f5f8466eaff925556b57fe6d,1,9616,-67,0.5709471712658782,2.392569099868594,1494768674917,23
b9407f30f5f8466eaff925556b57fe6d,1,9618,-73,0.571758973280771,2.3776383245729305,1494768674933,23
b9407f30f5f8466eaff925556b57fe6d,1,9619,-66,0.5755642952255804,2.307650315374507,1494768675008,23
b9407f30f5f8466eaff925556b57fe6d,1,9609,-84,0.5777460131406045,2.2675238567674114,1494768675051,23
b9407f30f5f8466eaff925556b57fe6d,1,9617,-76,0.5809424835742444,2.2087339290407355,1494768675114,23
b9407f30f5f8466eaff925556b57fe6d,1,9616,-79,0.5811454340779676,2.2050012352168196,1494768675118,23
b9407f30f5f8466eaff925556b57fe6d,1,9618,-70,0.5820079737187911,2.1891372864651775,1494768675135,23
b9407f30f5f8466eaff925556b57fe6d,1,9619,-83,0.5859147709154622,2.117282930354796,1494768675212,23
03050a00010400000000000000000000,0,0,-100,0.5874876373193167,2.088354553219448,1494768675243,23
b9407f30f5f8466eaff925556b57fe6d,1,9609,-81,0.588147226456417,2.0762232982917217,1494768675256,23
b9407f30f5f8466eaff925556b57fe6d,1,9616,-74,0.5912422216381954,2.0192997174770038,1494768675317,23
b9407f30f5f8466eaff925556b57fe6d,1,9617,-75,0.5913944345159877,2.016500197109067,1494768675320,23
b9407f30f5f8466eaff925556b57fe6d,1,9618,-70,0.5922569741568112,2.0006362483574245,1494768675337,23
b9407f30f5f8466eaff925556b57fe6d,1,9619,-87,0.5965696723609286,1.9213165045992115,1494768675422,23
03050a00010400000000000000000000,0,0,-94,0.5967726228646518,1.9175838107752958,1494768675426,23
b9407f30f5f8466eaff925556b57fe6d,1,9609,-85,0.5984977021462987,1.8858559132720105,1494768675460,23
b9407f30f5f8466eaff925556b57fe6d,1,9616,-88,0.6015926973280771,1.828932332457293,1494768675521,23
b9407f30f5f8466eaff925556b57fe6d,1,9617,-76,0.6025567122207622,1.8112020367936927,1494768675540,23
b9407f30f5f8466eaff925556b57fe6d,1,9618,-73,0.6027089250985546,1.8084025164257558,1494768675543,23
b9407f30f5f8466eaff925556b57fe6d,1,9619,-99,0.6068186727989489,1.7328154664914588,1494768675624,23
b9407f30f5f8466eaff925556b57fe6d,1,9616,-74,0.6121461235216821,1.6348322536136664,1494768675729,23
b9407f30f5f8466eaff925556b57fe6d,1,9617,-86,0.6124505492772668,1.6292332128777924,1494768675735,23
b9407f30f5f8466eaff925556b57fe6d,1,9618,-69,0.6132623512921594,1.6143024375821287,1494768675751,23
b9407f30f5f8466eaff925556b57fe6d,1,9616,-60,0.6860085480745342,1.5281403632298136,1494768675934,23
b9407f30f5f8466eaff925556b57fe6d,1,9617,-81,0.6910895463354038,1.5279087945341614,1494768675941,23
b9407f30f5f8466eaff925556b57fe6d,1,9618,-66,0.6925412601242237,1.5278426320496894,1494768675943,23
b9407f30f5f8466eaff925556b57fe6d,1,9609,-80,0.7869026563975156,1.5235420705590061,1494768676073,23
